City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
215,port alfred,-33.5906,26.891,19.54,95,100,5.63,ZA,1707878629
216,colonia menno,-22.3667,-59.8167,22.94,90,100,5.36,PY,1707878629
217,alofi,-19.0595,-169.9187,28.94,70,75,6.69,NU,1707878630
218,christchurch,-43.5333,172.6333,32.4,55,1,7.2,NZ,1707878124
219,payyannur,12.1,75.2,26.08,59,25,1.14,IN,1707878505
220,farasan,16.7022,42.1183,26.36,85,29,7.32,SA,1707878630
221,port elizabeth,-33.918,25.5701,20.17,95,100,6.17,ZA,1707878413
222,wailua homesteads,22.0669,-159.378,25.24,71,0,7.2,US,1707878630
223,east london,-33.0153,27.9116,19.72,83,9,4.16,ZA,1707878630
224,villamontes,-21.25,-63.5,21.21,75,100,0.21,BO,1707878630
225,rayadrug,14.7,76.8667,22.68,71,61,3.66,IN,1707878630
226,natal,-5.795,-35.2094,26.12,89,0,1.03,BR,1707878594
227,mount isa,-20.7333,139.5,30.87,66,40,3.6,AU,1707878619
228,arraial do cabo,-22.9661,-42.0278,25.32,87,100,5.61,BR,1707878370
229,suva,-18.1416,178.4415,32.71,70,75,5.14,FJ,1707878631
230,sao jose de piranhas,-7.1206,-38.5019,22.73,91,100,0.49,BR,1707878631
231,ulysses,37.5814,-101.3552,5.53,60,0,0.0,US,1707878631
232,wuxue,29.8506,115.5525,19.25,65,8,2.99,CN,1707878631
233,ndioum,16.5129,-14.6471,25.04,33,30,4.85,SN,1707878631
234,murray bridge,-35.1167,139.2667,20.07,37,0,6.27,AU,1707878631
235,newman,37.3138,-121.0208,14.19,77,99,1.62,US,1707878631
236,vorkuta,67.5,64.0,-31.03,99,6,2.52,RU,1707878631
237,quellon,-43.1167,-73.6167,11.27,66,1,2.78,CL,1707878631
238,yantzaza,-3.8278,-78.7594,21.45,99,100,0.76,EC,1707878631
239,sao paulo de olivenca,-3.3783,-68.8725,23.82,99,100,1.32,BR,1707878632
240,tshikapa,-6.4167,20.8,22.26,95,100,0.54,CD,1707878632
241,amal,59.051,12.7049,-0.83,99,95,2.7,SE,1707878632
242,sabha,27.0377,14.4283,11.77,57,0,4.65,LY,1707878632
243,reichenbach an der fils,48.7101,9.4643,6.38,88,100,1.03,DE,1707878632
244,glogovac,44.0397,21.3164,5.77,75,76,5.82,RS,1707878632
245,kassala,15.451,36.4,22.99,18,38,2.09,SD,1707878632
246,kotma,23.2,81.9667,21.58,53,72,2.92,IN,1707878633
247,shelkovskaya,43.5069,46.3392,8.53,69,100,3.16,RU,1707878633
248,guerrero negro,27.9769,-114.0611,15.3,64,58,5.44,MX,1707878633
249,chinde,26.8418,88.0763,15.07,29,56,1.54,NP,1707878633
250,saint-joseph,-21.3667,55.6167,24.21,87,98,3.83,RE,1707878633
251,neryungri,56.6709,124.6491,-20.73,88,100,2.6,RU,1707878633
252,itoman,26.1247,127.6694,23.38,64,75,11.32,JP,1707878633
253,sayyan,15.1718,44.3244,11.88,69,92,0.99,YE,1707878633
254,sur,22.5667,59.5289,22.38,76,0,3.48,OM,1707878634
255,sandnessjoen,66.0217,12.6316,-6.71,84,100,11.08,NO,1707878634
256,pizarro,4.9533,-77.366,26.25,87,75,0.36,CO,1707878634
257,yanzhou,35.5528,116.8286,15.85,58,10,1.94,CN,1707878634
258,brookings,44.3114,-96.7984,2.0,85,100,3.09,US,1707878443
259,happy valley-goose bay,53.3168,-60.3315,-1.83,80,100,4.12,CA,1707878634
260,kencong,-8.2833,113.3667,30.34,69,7,1.99,ID,1707878634
261,island harbour,50.724,-1.2758,11.93,95,100,3.58,GB,1707878634
262,beloyarskiy,63.7119,66.6722,-35.0,96,10,2.24,RU,1707878634
263,pioner,55.3166,85.9508,-10.31,66,0,5.0,RU,1707878634
264,thunder bay,48.4001,-89.3168,-11.01,85,75,0.51,CA,1707878426
265,coahuayana de hidalgo,18.7,-103.6583,22.5,89,78,1.03,MX,1707878635
266,saynshand,44.8824,110.1163,-13.63,75,1,4.83,MN,1707878635
267,puerto lempira,15.2667,-83.7667,24.56,90,38,2.56,HN,1707878635
268,melekeok village,7.4957,134.6367,30.31,66,75,4.63,PW,1707878635
269,kaa-khem,51.6833,94.7333,-22.0,83,100,1.1,RU,1707878635
270,shendi,16.6915,33.4341,21.56,14,0,3.69,SD,1707878635
271,boguchany,58.3814,97.4531,-19.52,100,100,1.34,RU,1707878635
272,afaahiti,-17.75,-149.2833,26.93,69,100,14.97,PF,1707878635
273,orosei,40.3798,9.6929,11.88,75,2,3.0,IT,1707878635
274,puerto deseado,-47.7503,-65.8938,20.1,39,0,5.73,AR,1707878635
275,vila velha,-20.3297,-40.2925,26.08,87,0,4.12,BR,1707878636
276,keningau,5.3378,116.1602,29.41,54,23,2.59,MY,1707878636
277,cananeia,-25.0147,-47.9267,24.87,93,100,0.9,BR,1707878636
278,sitka,57.0531,-135.33,4.94,70,0,0.0,US,1707878636
279,formosa,-26.1775,-58.1781,22.2,90,100,3.6,AR,1707878636
280,bontang,0.1333,117.5,29.1,69,80,6.1,ID,1707878636
281,peace river,56.2501,-117.286,-7.83,73,20,2.06,CA,1707878413
282,champerico,14.3,-91.9167,26.91,74,7,1.11,GT,1707878636
283,sarina,-21.4333,149.2167,30.15,1,75,4.38,AU,1707878636
284,jiuquan,39.7432,98.5174,-1.74,40,28,1.08,CN,1707878636
285,kingscliff,-28.2667,153.5667,30.96,65,13,5.14,AU,1707878637
286,antsiranana,-12.2787,49.2917,25.54,88,67,2.09,MG,1707878637
287,samraong,12.4526,105.5873,31.29,45,25,2.57,KH,1707878637
288,porto novo,6.4965,2.6036,26.24,93,6,2.45,BJ,1707878637
289,ca mau,9.1769,105.15,32.31,47,19,7.28,VN,1707878637
290,nikolayevsk-on-amure,53.1406,140.73,-14.07,75,100,1.94,RU,1707878637
291,nagqu,31.5,92.0,-4.74,28,99,7.69,CN,1707878429
292,bedesa,8.9,40.7833,19.81,58,100,6.28,ET,1707878637
293,san luis de la loma,17.2706,-100.8939,23.82,74,23,1.39,MX,1707878637
294,parun,35.4207,70.9221,-5.88,46,0,4.59,AF,1707878637
295,nemuro,43.3236,145.575,3.26,81,11,3.69,JP,1707878637
296,yardimli,38.9206,48.2372,9.63,49,100,3.32,AZ,1707878638
297,mezhdurechenskiy,59.6,65.9333,-24.47,85,100,7.0,RU,1707878638
298,kirensk,57.7853,108.1119,-16.69,88,100,3.58,RU,1707878638
299,murghob,38.1702,73.9667,-15.64,54,11,1.91,TJ,1707878638
300,port-vila,-17.7338,168.3219,28.71,81,41,6.68,VU,1707878458
301,la passe,45.5549,-0.8967,10.13,87,16,3.36,FR,1707878638
302,labrador city,52.9463,-66.9114,-8.05,97,100,7.2,CA,1707878638
303,tarauaca,-8.1614,-70.7656,21.96,99,100,0.34,BR,1707878639
304,brisas de zicatela,15.8369,-97.0419,27.29,78,0,1.03,MX,1707878639
305,bischofshofen,47.4167,13.2167,1.5,85,78,1.75,AT,1707878639
306,ngetkib,7.3645,134.5148,30.14,66,75,4.63,PW,1707878639
307,tidjikja,18.5564,-11.4271,26.15,8,26,4.02,MR,1707878639
308,howard springs,-12.497,131.047,27.77,91,92,4.88,AU,1707878639
309,santa maria,-29.6842,-53.8069,18.61,94,100,2.06,BR,1707878639
310,moires,35.0532,24.8744,11.42,84,39,1.34,GR,1707878639
311,russellville,35.2784,-93.1338,7.21,73,0,0.0,US,1707878639
312,fisterra,42.9049,-9.2629,16.53,98,100,8.14,ES,1707878639
313,merritt,50.1123,-120.7942,-3.15,78,8,0.74,CA,1707878639
314,callao,-12.0667,-77.15,27.62,69,0,6.69,PE,1707878640
315,laojunmiao,39.8333,97.7333,-4.21,61,82,1.2,CN,1707878640
316,san fernando de apure,7.8878,-67.4724,27.96,52,50,1.84,VE,1707878640
317,belmonte,-15.8631,-38.8828,25.35,87,64,1.6,BR,1707878640
318,menongue,-14.6585,17.691,17.66,80,67,1.28,AO,1707878640
319,mountain home,43.133,-115.6912,5.71,75,100,3.09,US,1707878094
320,pandan,14.0453,124.1694,26.79,81,37,6.68,PH,1707878640
321,panjab,34.388,67.0233,-16.36,59,0,2.09,AF,1707878640
322,karratha,-20.7377,116.8463,30.97,60,68,3.67,AU,1707878640
323,kingston,17.997,-76.7936,27.53,88,20,3.09,JM,1707878461
324,arawa,-6.2132,155.5367,30.54,71,76,0.45,PG,1707878640
325,wakkanai,45.4094,141.6739,4.49,78,75,8.23,JP,1707878641
326,archangelos,36.2149,28.1149,13.99,76,0,3.68,GR,1707878641
327,beibei,29.8256,106.4339,15.26,67,100,0.89,CN,1707878641
328,hell-ville,-13.4,48.2667,27.14,80,75,1.66,MG,1707878641
329,clinton,42.587,-82.9199,1.08,79,100,3.09,US,1707878641
330,cururupu,-1.8283,-44.8683,24.01,96,100,0.87,BR,1707878641
331,bulayevo,54.9056,70.4439,-14.21,90,99,8.84,KZ,1707878491
332,saint croix,17.7397,-64.7388,23.86,87,0,1.54,VI,1707878642
333,san rafael,-34.6177,-68.3301,20.67,39,0,4.33,AR,1707878435
334,northam,51.0333,-4.2167,12.44,98,100,7.46,GB,1707878642
335,comodoro rivadavia,-45.8667,-67.5,24.92,15,0,2.57,AR,1707878642
336,remire-montjoly,4.9167,-52.2667,27.02,89,75,2.57,GF,1707878642
337,ola,59.5833,151.2833,-21.59,82,100,1.87,RU,1707878642
338,port macquarie,-31.4333,152.9167,31.61,58,1,5.25,AU,1707878642
339,al kharijah,25.4514,30.5464,13.21,38,30,1.86,EG,1707878642
340,north bend,43.4065,-124.2243,9.95,81,0,1.54,US,1707878642
341,vila franca do campo,37.7167,-25.4333,15.23,87,100,4.36,PT,1707878643
342,zeya,53.75,127.2667,-14.73,62,5,3.77,RU,1707878643
343,lafollette,36.3829,-84.1199,6.34,93,0,0.0,US,1707878643
344,port moresby,-9.4431,147.1797,30.68,70,75,7.72,PG,1707878643
345,conceicao da barra,-18.5933,-39.7322,24.3,91,60,1.82,BR,1707878548
346,kupang,-10.1667,123.5833,26.32,100,75,2.06,ID,1707878644
347,pukchil-lodongjagu,40.2019,125.7483,5.48,92,100,0.53,KP,1707878644
348,cockburn town,21.4612,-71.1419,25.66,76,0,3.77,TC,1707878644
349,san martin de los andes,-40.1604,-71.3486,20.36,53,56,0.89,AR,1707878644
350,bage,-31.3314,-54.1069,14.88,88,0,4.12,BR,1707878644
351,gadani,25.1185,66.7299,15.12,66,0,1.87,PK,1707878644
352,alajarvi,63.0,23.8167,-8.78,93,100,5.44,FI,1707878645
353,charlottetown,46.2352,-63.1267,-2.84,80,100,8.75,CA,1707878512
354,villa gesell,-37.2639,-56.973,15.59,63,0,2.92,AR,1707878645
355,flying fish cove,-10.4217,105.6791,28.82,74,75,2.06,CX,1707878645
356,mora,11.0461,14.1401,21.33,13,0,2.68,CM,1707878645
357,santa isabel,-23.3156,-46.2214,23.61,94,100,0.44,BR,1707878645
358,st. john's,47.5649,-52.7093,-0.68,87,100,2.06,CA,1707878440
359,oodweyne,9.4092,45.064,18.38,70,7,3.43,SO,1707878645
